"","code_village","code_engin","code_pecheur","start_op","end_op","fishing"
"62","KPN","FMCy","0004",2019-10-23 11:05:33,2019-10-23 12:09:33,"active"
"63","KPN","FMCy","0004",2019-10-23 12:24:33,2019-10-23 15:04:33,"active"
"64","KPN","FMCy","0004",2019-10-23 16:25:33,2019-10-23 17:15:33,"active"
"65","KPN","FMCy","0004",2020-04-08 20:42:06,2020-04-08 23:51:06,"active"
"66","KPN","FMCy","0004",2020-04-09 03:00:06,2020-04-09 07:27:06,"active"
"67","KPN","FMCy","0004",2020-04-09 11:47:06,2020-04-09 17:57:06,"active"
"68","KPN","FMCy","0004",2020-04-09 21:11:06,2020-04-10 08:42:06,"active"
"69","KPN","FMCy","0004",2020-04-10 08:52:06,2020-04-10 10:52:06,"active"
"70","KPN","FMCy","0004",2020-04-10 11:22:06,2020-04-10 12:27:06,"active"
"71","KPN","FMCy","0004",2020-04-10 12:32:06,2020-04-10 16:37:06,"active"
"72","KPN","FMCy","0004",2020-04-10 17:17:06,2020-04-10 19:22:06,"active"
"73","KPN","FMCy","0004",2020-04-10 19:45:06,2020-04-11 00:20:06,"active"
"74","KPN","FMCy","0004",2020-09-17 11:01:09,2020-09-17 16:46:09,"active"
"75","KPN","FMCy","0007",2019-05-25 19:04:43,2019-05-26 02:03:43,"active"
"76","KPN","FMCy","0007",2019-05-26 02:15:43,2019-05-26 07:13:43,"active"
"77","KPN","FMCy","0007",2019-05-26 08:30:43,2019-05-26 13:16:43,"active"
"78","KPN","FMD","0007",2019-06-24 12:25:10,2019-06-24 17:41:10,"active"
"79","KPN","FMD","0007",2019-06-24 19:07:10,2019-06-24 22:39:10,"active"
"80","KPN","FMD","0007",2019-06-24 23:23:10,2019-06-25 08:03:10,"active"
"81","KPN","FMD","0007",2019-06-25 18:25:18,2019-06-25 21:07:18,"active"
"82","KPN","FMD","0007",2019-09-18 09:21:51,2019-09-18 10:35:51,"active"
"83","KPN","FMD","0007",2019-09-29 08:51:41,2019-09-29 10:05:41,"active"
"84","KPN","FMD","0007",2019-09-29 15:25:41,2019-09-29 15:59:41,"active"
"85","KPN","FMD","0007",2019-09-29 16:09:41,2019-09-29 17:18:41,"active"
"86","KPN","FMD","0007",2019-11-24 11:33:56,2019-11-24 12:22:56,"active"
"87","KPN","FMD","0007",2019-11-24 12:38:56,2019-11-24 13:53:56,"active"
"88","KPN","FMD","0007",2019-11-24 13:59:56,2019-11-24 15:55:56,"active"
"89","KPN","FMD","0007",2020-01-21 08:42:52,2020-01-21 12:13:52,"active"
"90","KPN","FMD","0007",2020-01-21 13:24:52,2020-01-21 16:36:52,"active"
"91","KPN","FMD","0007",2020-04-08 08:30:17,2020-04-08 10:04:17,"active"
"92","KPN","FMD","0007",2020-04-08 10:10:17,2020-04-08 13:32:17,"active"
"93","KPN","FMD","0007",2020-04-08 13:38:17,2020-04-08 17:43:17,"active"
"94","KPN","FMD","0007",2020-07-29 09:13:37,2020-07-29 09:32:37,"active"
"95","KPN","FMD","0007",2020-07-29 10:03:37,2020-07-29 11:27:37,"active"
"96","KPN","FMD","0007",2020-07-29 11:43:37,2020-07-29 12:52:37,"active"
"97","KPN","FMD","0007",2020-07-29 12:58:37,2020-07-29 13:32:37,"active"
"98","KPN","FMD","0007",2020-07-29 14:08:37,2020-07-29 15:23:37,"active"
"99","KPN","FMEg","0001",2019-06-12 09:29:09,2019-06-12 10:53:09,"active"
"100","KPN","FMEg","0001",2019-06-12 10:29:09,2019-06-12 12:18:09,"active"
"101","KPN","FMEg","0001",2019-06-12 12:39:09,2019-06-12 13:38:09,"active"
"102","KPN","FMEg","0001",2019-06-12 13:54:09,2019-06-12 15:09:09,"active"
"103","KPN","FMEg","0001",2019-10-25 10:34:52,2019-10-25 11:23:52,"active"
"104","KPN","FMEg","0001",2019-10-25 11:29:52,2019-10-25 12:28:52,"active"
"105","KPN","FMEg","0001",2019-10-25 12:49:52,2019-10-25 13:43:52,"active"
"106","KPN","FMEg","0001",2019-10-25 13:54:52,2019-10-25 15:08:52,"active"
"107","KPN","FMEg","0002",2019-04-19 11:15:03,2019-04-19 11:34:03,"active"
"108","KPN","FMEg","0002",2019-04-19 12:05:03,2019-04-19 14:03:03,"active"
"109","KPN","FMEg","0002",2019-05-04 10:34:52,2019-05-04 12:02:52,"active"
"110","KPN","FMEg","0002",2019-05-04 14:04:52,2019-05-04 14:13:52,"active"
"111","KPN","FMEg","0002",2019-05-04 14:18:52,2019-05-04 14:37:52,"active"
"112","KPN","FMEg","0002",2019-05-26 07:57:30,2019-05-26 09:01:30,"active"
"113","KPN","FMEg","0002",2019-05-26 09:07:30,2019-05-26 10:26:30,"active"
"114","KPN","FMEg","0002",2019-05-26 10:32:30,2019-05-26 11:36:30,"active"
"115","KPN","FMEg","0002",2019-05-26 11:42:30,2019-05-26 13:21:30,"active"
"116","KPN","FMEg","0002",2019-07-13 09:23:01,2019-07-13 09:57:01,"active"
"117","KPN","FMEg","0002",2019-07-13 10:33:01,2019-07-13 11:27:01,"active"
"118","KPN","FMEg","0002",2019-07-13 11:38:01,2019-07-13 12:32:01,"active"
"119","KPN","FMEg","0002",2019-07-13 12:43:01,2019-07-13 13:22:01,"active"
"120","KPN","FMEg","0002",2019-07-13 13:28:01,2019-07-13 14:17:01,"active"
"121","KPN","FMEg","0002",2019-07-26 10:24:34,2019-07-26 11:23:34,"active"
"122","KPN","FMEg","0002",2019-07-26 11:34:34,2019-07-26 12:13:34,"active"
"123","KPN","FMEg","0002",2019-07-26 12:24:34,2019-07-26 12:58:34,"active"
"124","KPN","FMEg","0002",2019-07-26 13:24:34,2019-07-26 13:53:34,"active"
"125","KPN","FMEg","0002",2019-09-16 12:42:41,2019-09-16 17:41:41,"active"
"126","KPN","PA","0005",2019-04-10 23:25:53,2019-04-11 01:04:53,"active"
"127","KPN","PA","0005",2019-05-09 15:38:50,2019-05-09 17:13:50,"active"
"128","KPN","PA","0005",2019-09-13 15:50:36,2019-09-13 16:14:36,"active"
"129","KPN","PA","0005",2019-09-13 16:20:36,2019-09-13 16:34:36,"active"
"130","KPN","PA","0005",2019-09-13 16:45:36,2019-09-13 17:39:36,"active"
"131","KPN","PA","0005",2019-09-13 18:05:36,2019-09-13 18:54:36,"active"
"132","KPN","PA","0005",2019-11-06 06:51:39,2019-11-06 07:00:39,"active"
"133","KPN","PA","0005",2019-11-06 07:26:39,2019-11-06 08:20:39,"active"
"134","KPN","PA","0005",2019-11-06 08:26:39,2019-11-06 09:05:39,"active"
"135","KPN","PA","0005",2019-11-06 09:46:39,2019-11-06 10:10:39,"active"
"136","KPN","PA","0005",2019-11-06 10:36:39,2019-11-06 10:40:39,"active"
"137","KPN","PA","0005",2019-11-06 10:51:39,2019-11-06 11:55:39,"active"
"138","KPN","PA","0005",2019-11-06 12:01:39,2019-11-06 16:40:39,"active"
"139","KPN","PA","0005",2019-11-06 17:36:39,2019-11-06 17:40:39,"active"
"140","KPN","PA","0005",2019-11-06 18:21:39,2019-11-06 19:08:39,"active"
"141","KPN","PA","0005",2019-11-07 06:48:52,2019-11-07 07:07:52,"active"
"142","KPN","PA","0005",2019-11-07 07:13:52,2019-11-07 07:37:52,"active"
"143","KPN","PA","0005",2019-11-07 07:48:52,2019-11-07 07:57:52,"active"
"144","KPN","PA","0005",2019-11-07 10:43:52,2019-11-07 10:47:52,"active"
"145","KPN","PA","0005",2019-11-07 11:48:52,2019-11-07 16:12:52,"active"
"146","KPN","PA","0005",2019-11-07 16:33:52,2019-11-07 18:49:52,"active"
"147","KPN","PA","0005",2020-09-30 09:44:58,2020-09-30 11:00:58,"active"
"148","KPN","PA","0005",2020-09-30 11:06:58,2020-09-30 14:17:58,"active"
"149","KPN","PA","0005",2020-09-30 14:19:58,2020-09-30 18:33:58,"active"
"150","KPN","PA","0005",2020-09-30 18:53:58,2020-09-30 20:19:58,"active"
"151","KPN","PA","0006",2019-07-20 16:09:55,2019-07-20 16:38:55,"active"
"152","KPN","PA","0006",2019-07-20 16:42:55,2019-07-20 16:51:55,"active"
"153","KPN","PA","0006",2019-07-20 17:31:55,2019-07-20 17:54:55,"active"
"154","KPN","PA","0006",2019-07-20 18:06:55,2019-07-20 18:57:55,"active"
"155","KPN","PA","0006",2019-07-20 19:04:55,2019-07-20 20:01:55,"active"
"156","KPN","PA","0006",2020-01-16 13:21:58,2020-01-16 13:24:58,"active"
"157","KPN","PA","0006",2020-01-16 15:53:58,2020-01-16 17:31:58,"active"
"158","KPN","PA","0006",2020-01-16 17:38:58,2020-01-16 19:37:58,"active"
"159","KPN","PA","0006",2020-01-16 19:45:58,2020-01-16 20:05:58,"active"
"160","KPN","PA","0006",2020-01-23 10:47:30,2020-01-23 11:13:30,"active"
"161","KPN","PA","0006",2020-01-23 15:06:30,2020-01-23 16:43:30,"active"
"162","KPN","PA","0006",2020-01-23 17:11:30,2020-01-23 18:37:30,"active"
"163","KPN","PA","0006",2020-01-23 20:00:30,2020-01-23 20:02:30,"active"
"164","KPN","PA","0006",2020-01-24 10:15:22,2020-01-24 11:53:22,"active"
"165","KPN","PA","0006",2020-02-19 08:30:56,2020-02-19 10:17:56,"active"
"166","KPN","PA","0006",2020-02-19 10:38:56,2020-02-19 12:09:56,"active"
"167","KPN","PA","0006",2020-02-19 12:30:56,2020-02-19 12:37:56,"active"
